Date,Montant_total_EUR,Nb_transactions
2026-05-31,486.4,18
2026-06-01,379.76,21
2026-06-02,585.0,12
2026-06-03,439.44,22
2026-06-04,563.11,25
2026-06-05,629.3,19
2026-06-06,437.0,19
2026-06-07,267.6,11
2026-06-08,299.3,13
2026-06-09,355.1,15
2026-06-10,626.63,28
2026-06-11,731.66,23
2026-06-12,829.2,22
2026-06-13,533.1,18
2026-06-14,435.1,17
2026-06-15,426.7,21
2026-06-16,630.73,22
2026-06-17,894.1,25
2026-06-18,692.06,24
2026-06-19,1113.58,32
2026-06-20,740.9,21
2026-06-21,741.2,23
2026-06-22,863.4,32
2026-06-23,565.8,19
2026-06-24,480.24,20
2026-06-25,753.03,20
2026-06-26,1170.42,33
2026-06-27,433.2,18
2026-06-28,390.8,18
2026-06-29,389.8,15
2026-06-30,679.0,25
2026-07-01,501.98,18
2026-07-02,314.68,17
2026-07-03,527.9,17
2026-07-04,270.3,14
2026-07-05,283.6,8
